surface	item	kind	origin	source	canonical_page	cheat_sheet	troubleshooting	availability
tmux	Ctrl+a then j	key	tmux-binding	home/dot_config/tmux/tmux.conf.tmpl	tmux.html	no	no	all; requires tmux
tmux	Ctrl+a then k	key	tmux-binding	home/dot_config/tmux/tmux.conf.tmpl	tmux.html	no	no	all; requires tmux
tmux	Ctrl+a then l	key	tmux-binding	home/dot_config/tmux/tmux.conf.tmpl	tmux.html	no	no	all; requires tmux
tmux	Ctrl+a then r	key	tmux-binding	home/dot_config/tmux/tmux.conf.tmpl	tmux.html	yes	yes	all; requires tmux
tmux	Ctrl+a then x	key	tmux-binding	home/dot_config/tmux/tmux.conf.tmpl	tmux.html	yes	no	all; requires tmux
tmux	Ctrl+a then z	key	tmux-builtin	home/dot_local/share/groundwork/commands.tsv	tmux.html	yes	no	all; requires tmux
tmux	Ctrl+a then |	key	tmux-binding	home/dot_config/tmux/tmux.conf.tmpl	tmux.html	yes	no	all; requires tmux
tmux	tmux Option+right-click	key	tmux-binding	home/dot_config/tmux/tmux.conf.tmpl	tmux.html	no	no	all; requires tmux
tmux	tmux copy-mode-vi: Ctrl+v	key	tmux-binding	home/dot_config/tmux/tmux.conf.tmpl	tmux.html	no	no	all; requires tmux
tmux	tmux copy-mode-vi: v	key	tmux-binding	home/dot_config/tmux/tmux.conf.tmpl	tmux.html	yes	no	all; requires tmux
tmux	tmux copy-mode-vi: y	key	tmux-binding	home/dot_config/tmux/tmux.conf.tmpl	tmux.html	yes	no	all; requires tmux
tmux	tmux right-click	key	tmux-binding	home/dot_config/tmux/tmux.conf.tmpl	tmux.html	no	yes	all; requires tmux
